,InscricaoImobiliaria,Ano,lon,lat
11360,852590,2020,-43.38166080099995,-22.83694107799994
27269,3234622,2020,-43.18237795099998,-22.95592958899994
38508,4520094,2020,-43.10403813899995,-22.76538838999994
43542,1752492,2021,-43.21236835799994,-22.91221536099994
47472,4531877,2021,-43.23983513199994,-22.92890105399994
59007,4205407,2020,-43.34712091799997,-22.93822378499993
68753,2458602,2021,-43.31734362599997,-22.82965957699997
71993,4229183,2020,-43.25829556999997,-22.92730534599997
72926,3315074,2020,-43.28076831399994,-22.83559587599996
73264,6192744,2020,-43.54513503099997,-22.90499659599993
78898,2044840,2021,-43.21845006399997,-22.91484584199998
86654,4249231,2020,-43.25249543599995,-22.84454398999998
88193,6194641,2021,-43.57735177199999,-22.91503062999993
89221,5415807,2021,-43.55944244899996,-22.90778063699997
93585,4592424,2021,-43.25090514599998,-22.86903599099998
95271,276634,2021,-43.27374333699998,-22.99177422499997
95774,2090736,2020,-43.32531354199995,-22.87851003899993
98454,1803048,2020,-43.56509319599996,-22.91139076599995
99386,2502136,2021,-43.32365366399995,-22.84492463199996
104594,6216543,2020,-43.58277659899994,-22.90707479299994
113667,2097251,2020,-43.34266171999997,-22.87952681199994
120244,6234926,2020,-43.54820779199997,-22.90262218599997
122224,2103703,2021,-43.25650499999995,-22.86633246699995
123483,6242655,2020,-43.37434421499995,-22.92707143099994
123785,6767636,2021,-43.47875546899996,-22.88618459299994
135625,1852565,2020,-43.37415837099996,-22.83703620899996
140904,4328225,2020,-43.24248068199995,-22.92888485499998
143333,1008069,2020,-43.18536249999994,-22.90672611399998
144979,1861749,2020,-43.22514299899996,-22.88665448299997
150575,6274948,2020,-43.48222689499994,-22.88471009499995
152887,2547438,2020,-43.29875648199993,-22.99171088599996
167663,2157063,2020,-43.29001228399994,-22.90463629899995
168752,94508,2020,-43.41099294499998,-22.88172637399998
171483,87148,2020,-43.18607766899999,-22.79023786399995
174364,3435922,2020,-43.54689324699996,-22.91072992599993
179351,2560241,2020,-43.54626391699998,-22.89552119299998
179398,2560233,2020,-43.54618237099993,-22.89548723199994
190338,2180271,2020,-43.29730524299998,-22.90579118899996
190447,2180297,2020,-43.29751846799996,-22.90675166499994
195671,2180461,2020,-43.28734914999995,-22.83792954999996
195703,2180289,2020,-43.29751846799996,-22.90675166499994
199994,2594091,2020,-43.26789748099998,-22.92298370799995
206738,2180305,2020,-43.29751846799996,-22.90675166499994
214509,1141894,2021,-43.18928710099993,-22.95521148499995
217225,3481033,2020,-43.32327608999998,-22.80715380699996
225931,6375679,2020,-43.35921208099995,-22.81473701299996
248834,6373005,2020,-43.24604414899994,-22.98138318199995
252526,379933,2020,-43.18268367999997,-22.81226274299996
258633,2236891,2021,-43.30632466799995,-22.83949597999998
258850,7106909,2021,-43.33258673299997,-22.99810895899998
265625,6397525,2020,-43.58026454199995,-22.88787875599996
274321,7120157,2020,-43.35632993999997,-22.83661164799997
274855,3512159,2020,-43.38294913099998,-22.92415665699997
276377,7123052,2020,-43.33612177199996,-22.96411340799995
280640,409540,2021,-43.34101215299995,-22.87640217599994
282861,4482543,2020,-43.36069372599997,-22.80524634599993
289545,4487898,2021,-43.22952237999993,-22.92112442199993
315440,2302768,2020,-43.22378695999998,-22.96117055699995
316767,3560679,2020,-43.37131227799995,-22.80682777499993
320419,3561503,2020,-43.23704519599994,-22.93651694999994
329696,7432917,2020,-43.46688061499998,-23.01242924299993
331513,4816831,2020,-43.40084752099995,-22.82984764799994
349009,2331056,2021,-43.66342700899997,-22.88226866999997
359931,2732451,2020,-43.31511954399997,-22.83160333599994
361139,2737377,2021,-43.31788318899999,-22.82778329699994
361350,3608320,2020,-43.27645583999998,-22.81809910199996
363838,4868600,2020,-43.33812833899998,-22.81425755899994
374363,7473309,2020,-43.28843290999998,-22.90803777999997
380788,1368356,2020,-43.21970358999994,-22.92244288499995
391220,1383280,2020,-43.22673569699998,-22.89413587599995
425762,7504129,2020,-43.34240945599998,-22.81148663499994
428786,7505373,2020,-43.33999251099993,-22.81266902299996
433129,7729247,2020,-43.65875735499998,-22.94449828999996
444725,7523590,2020,-43.63336946099997,-22.93362143999997
447118,7728017,2020,-43.58631872999996,-22.90610711099998
463984,8122426,2021,-43.26211580999995,-22.85992383699994
464333,7739279,2020,-43.38238800199997,-22.95636542399996
466479,8141996,2020,-43.41150581599993,-22.82475598399998
479984,2829505,2021,-43.26635992999996,-22.92829383999998
480798,1518349,2020,-43.46465631099994,-22.87224279699996
487015,5826375,2021,-43.30833955799994,-22.83420475399993
490605,2843910,2020,-43.19807275799997,-22.79644815099994
490807,1497189,2020,-43.18219834399997,-22.95424938799994
500722,8685273,2021,-43.25043826899997,-22.93203791899998
504180,7767619,2020,-43.38015518999998,-22.94401453999996
530225,1542893,2021,-43.46351189599994,-22.86714088499997
533000,8780256,2020,-43.37080051299995,-22.92406599799995
545508,8735607,2020,-43.19516853899995,-22.81039520199994
552191,6671101,2021,-43.34712091799997,-22.93822378499993
566753,7809692,2021,-43.60167084899996,-22.88976324499998
574112,9001553,2020,-43.47334861499996,-23.03031437199996
582087,7810054,2020,-43.60167084899996,-22.88976324499998
587639,8857104,2020,-43.34054727899996,-22.84493768499993
590600,5097746,2021,-43.30238785699999,-22.83356858799993
592498,5917703,2020,-43.22540903599997,-22.88240611899994
597627,5952478,2020,-43.37589864899996,-22.86425249699994
599014,7826563,2020,-43.38286489299998,-22.88812906899994
610953,2952877,2021,-43.61187718299993,-22.96286684299997
620307,8918385,2020,-43.30976824299995,-22.84452025699994
622369,5955760,2020,-43.31048979299993,-22.83786744199995
637546,9206863,2020,-43.18841888399993,-22.93132983599997
637564,9206707,2020,-43.18923926099995,-22.93089374199997
640534,8524019,2020,-43.56055632899995,-22.90664490699993
646655,6755631,2020,-43.61813910699993,-22.91757681899998
650119,2979276,2021,-43.61627177199995,-22.96380577199994
650869,3888948,2020,-43.29166894299993,-23.01096408299998
651239,3889565,2020,-43.29440149499993,-23.01344243899996
652755,3886793,2020,-43.28822645599996,-23.01050760399994
654049,5167994,2020,-43.28513481699997,-22.82623367599996
659742,2978948,2020,-43.59774760799996,-22.94607082199997
668553,9241571,2020,-43.34149091399996,-22.93855045999993
674233,3914264,2021,-43.45352931199994,-23.01539123899994
677030,9238668,2020,-43.47716038999994,-22.87906647899996
681141,9312166,2020,-43.53248169999995,-22.91498271799998
688749,9320425,2021,-43.56041980299995,-22.89329863099994
695884,5216395,2020,-43.30791129699998,-22.84969959099993
698815,6066922,2020,-43.31234463099997,-22.84778178899995
701355,7874845,2020,-43.60473529699993,-22.95700841699994
704816,5240304,2020,-43.53435047899995,-22.91866688899995
708066,6069702,2020,-43.30807387099998,-23.01198351799997
713891,5218458,2021,-43.34003381699995,-22.93861380099997
716269,5247556,2021,-43.18979430099995,-22.94192750099995
718735,9283318,2020,-43.20694938199995,-22.80673198299996
722824,6089130,2020,-43.33168344799998,-22.94194538999994
723334,3952231,2021,-43.46326608299995,-23.01539803799994
728684,6078661,2020,-43.38576296199994,-22.93195181699997
734374,5281126,2020,-43.55565700099993,-22.90449328399995
737388,3083276,2021,-43.25259360599995,-22.86735344799996
747468,6134993,2020,-43.18925329799998,-22.80132700499996
749066,9675224,2020,-43.49046862699998,-23.02588094299995
750576,9673633,2020,-43.47943760899994,-23.02286364099996
755222,5305776,2020,-43.37103678499994,-22.92040084399997
756259,6115562,2020,-43.54193798299997,-22.89413427799997
756270,3084316,2020,-43.26664419199994,-22.87803080699996
757373,6122329,2020,-43.33892279799994,-22.94860327299995
757552,3091071,2020,-43.32635437299996,-22.85568929599998
759395,9669730,2020,-43.45364483799995,-23.01518574699998
759430,9669219,2020,-43.48939145099996,-23.02479039999997
765254,9673864,2020,-43.47664498599994,-23.02331668599993
766282,4013587,2020,-43.32528584299996,-22.83785140699996
767399,9685942,2021,-43.49680831199998,-23.02729991199993
769178,3098712,2020,-43.18430400599993,-22.90574433699993
773154,9713058,2021,-43.51099558199996,-22.88159232199996
775329,6138853,2021,-43.55968725799994,-22.88635204699995
776652,717132,2020,-43.34825215699993,-22.95905099999993
791212,9711540,2020,-43.40698403499994,-22.82448981199997
815312,3163581,2020,-43.21933340899994,-22.91324633699998
816278,11664463,2020,-43.41431299599998,-22.83207014899995
819074,3165834,2020,-43.28179234099997,-22.90034119099994
863228,4135976,2020,-43.29820863499998,-22.89345507399997
865489,4133906,2020,-43.25846414199998,-22.85329810499996
871712,12202933,2021,-43.66682124999994,-22.98178715299997
871803,12204632,2020,-43.66584303599996,-22.97335336599997
878801,11879277,2021,-43.68890674099998,-22.92523116799998
881654,12734315,2020,-43.25872465699996,-22.99281636999996
883157,12214086,2021,-43.66430829799998,-22.97349459199995
890357,12218905,2020,-43.66540495799995,-22.98358647099997
894231,13022470,2020,-43.34168949499997,-22.95234641799993
900922,12207411,2020,-43.65957174299996,-22.97955759099995
915600,11921947,2020,-43.33138292699994,-22.95672201799994
917084,13151758,2021,-43.56312522299999,-22.87562123299995
918676,12231486,2020,-43.66069482299997,-22.98000483099997
926936,12236832,2021,-43.33433487099995,-22.92848863199998
937812,12785424,2020,-43.32008604599997,-23.00777873999994
948544,12653739,2021,-43.27493172199996,-22.99720403099997
950457,12785481,2021,-43.32008436899997,-23.00889232999998
955875,8021172,2020,-43.27784728899996,-22.83664646499994
963044,11789260,2020,-43.28409780599998,-22.88738082699996
977082,12295556,2021,-43.57458276299997,-22.94185135799995
995221,13727227,2020,-43.37252779599999,-22.88556351799997
1007561,12843330,2020,-43.62351308899997,-22.99701514399993
1010320,13415401,2020,-43.37897662399996,-23.00407418199995
1010552,13415435,2020,-43.37767589799995,-23.00410346399997
1011943,12053328,2020,-43.35395343899995,-22.94194779699995
1015618,13728845,2020,-43.37381094999995,-22.88636718499998
1028665,13415427,2020,-43.37897662399996,-23.00407418199995
1029160,13745708,2020,-43.46383537999998,-22.86202418399995
1045984,12065637,2021,-43.38975382899997,-22.96340757099995
1062558,13647375,2020,-43.57379337499998,-22.88394149299995
1064774,13451687,2020,-43.39822014399994,-22.91972941099993
1077646,14082945,2020,-43.30458345899996,-22.98823565699996
1079793,12395000,2021,-43.40500698799997,-22.99637889799993
1091420,13479621,2021,-43.41696400699993,-23.00449458299994
1092276,13479134,2020,-43.41405591899996,-23.00457823199997
1094472,14097760,2020,-43.40725500999997,-22.88295180399996
1101042,14537831,2021,-43.55167016699994,-22.88822597999996
1104850,13808886,2020,-43.32459057699998,-22.94373678399995
1105721,13810916,2020,-43.55454471899998,-22.98515574299995
1120585,14275911,2020,-43.41063248699993,-22.82278361799996
1135597,14147136,2020,-43.41194512899995,-22.91815605699998
1135804,14147334,2021,-43.41162477899996,-22.91896948999994
1135857,14146898,2021,-43.41183028999995,-22.91734409599997
1138454,13845995,2021,-43.48154290099995,-22.88036225599996
1140840,13531470,2020,-43.55547680099994,-22.88139090099997
1150886,14021497,2020,-43.30319333299997,-22.98463001299996
1152538,14148670,2020,-43.41521311799994,-22.92179014099997
1163979,14149538,2020,-43.40969093999996,-22.92093871999998
1175819,14871164,2020,-43.38387851999994,-22.81834908299993
1189170,13709266,2021,-43.45453848199998,-22.88290882099994
1198795,15440647,2020,-43.59662375099998,-22.88040770799995
1205361,13013321,2020,-43.65839384099996,-22.98481461199998
1210112,14739791,2020,-43.37167990799998,-22.89044443899996
1214381,16062051,2020,-43.56504076599998,-22.92746191499998
1253798,14926489,2020,-43.39736751999993,-22.91180581099997
1254470,16704892,2020,-43.19860855499996,-22.80249035699995
1257482,15242696,2020,-43.41793781299998,-22.91080955999996
1272032,14943070,2020,-43.40036041899998,-22.92818229699998
1329032,18296509,2020,-43.33531379399994,-22.95741956299997
1344039,18559575,2020,-43.23817235999996,-22.89707196299997
1383414,18442525,2020,-43.36426426799994,-22.92787188199998
1388080,17136300,2020,-43.62922900899997,-22.92088262599998
1394074,17346552,2021,-43.38170306299997,-22.90853554399996
1401700,18597013,2021,-43.17907339299995,-22.91816995499994
1420622,18101352,2021,-43.39732731699996,-23.00496144299996
1451014,18654509,2020,-43.30512699799993,-22.88849939899995
1461013,18139121,2020,-43.32991870199993,-22.95484006399994
1473944,19479203,2021,-43.59044715899995,-22.87950873699998
1491861,16929853,2021,-43.56735003299997,-22.91236787799994
1502840,17224841,2020,-43.33995459699997,-22.92128212599994
1507746,16933822,2020,-43.56805758299998,-22.91428225399994
1508715,18511766,2020,-43.17504375999994,-22.96468957399998
1520965,19218965,2020,-43.53709279699996,-22.87922709799994
1524420,19626928,2020,-43.53373814799994,-22.88067939899997
1542280,18205641,2020,-43.38170306299997,-22.90853554399996
1543955,17703281,2020,-43.46478266899993,-22.88561233899998
1549646,19542745,2021,-43.45193243499995,-22.88668120299997
1555264,19679257,2021,-43.46449980699998,-22.85510643099997
1558963,19251503,2021,-43.54968414699994,-22.86958407799995
1561318,19253731,2020,-43.55902123899995,-22.88016957999997
1561466,19557982,2020,-43.56263599999994,-22.87718072999996
1569618,18771113,2020,-43.56334925999994,-22.91607247699994
1571831,19812601,2020,-43.19547402599994,-22.93530575099993
1575299,19689249,2020,-43.43674030099993,-23.00964905299998
1575333,19689819,2020,-43.43622310299997,-23.01155746099994
1584386,17779232,2021,-43.37935088199998,-22.92757065199993
1584873,29978673,2020,-43.46621748099994,-22.88570566399994
1585014,29978590,2020,-43.68124798599996,-22.92369610799994
1585076,29978913,2020,-43.35315866799994,-22.89320540999995
1587933,19823509,2020,-43.41688368099994,-22.91035421599997
1590965,19280700,2020,-43.56038394699993,-22.87710658899994
1591903,19689900,2020,-43.43622310299997,-23.01155746099994
1596985,29978699,2020,-43.25444132199993,-22.92084550799996
1597052,29978178,2021,-43.18459194499997,-22.96853667399995
1598621,29973203,2020,-43.44349330999995,-22.87512234499997
1606170,29982311,2020,-43.30025176699996,-22.88841520799997
1617321,18786103,2020,-43.38576091399995,-22.91576367099998
1622331,18797845,2020,-43.33510324799994,-23.00105608199993
1633336,30096630,2020,-43.55892909199997,-22.91026436799996
1633337,30096648,2020,-43.55892909199997,-22.91026436799996
1633430,20132544,2020,-43.37892537899995,-22.81763980199997
1641497,20548046,2020,-43.53742993599997,-22.88130571399995
1646190,30023600,2020,-43.35697311999996,-22.87083600399995
1647248,30023816,2020,-43.61119409399998,-22.95960902599995
1647341,30023626,2020,-43.37973318199994,-22.91215790599995
1653537,30023592,2020,-43.43883284199995,-22.88899152299996
1661607,30042147,2020,-43.41105116499995,-22.83132133899994
1661608,30042279,2020,-43.42652978999996,-22.88916117499997
1662521,30033658,2021,-43.40174803099995,-22.91476905899998
1664061,30042154,2020,-43.40332303299994,-22.83813342099995
1664062,30042170,2020,-43.40918699299993,-22.82570044599993
1671722,30042352,2021,-43.59672309599995,-22.89536572599997
1671825,30042485,2020,-43.18901955699994,-22.94276483999994
1671971,30042774,2020,-43.43684544399997,-23.00272594099994
1671974,30043160,2021,-43.28770546099997,-22.89574993099995
1672149,30043327,2021,-43.18488293099995,-22.79807013399994
1673918,30050504,2021,-43.36262408399995,-22.93257959899995
1674744,30042675,2021,-43.17616170299993,-22.92457123199995
1674747,30043095,2021,-43.31565474499996,-22.88763395999996
1674781,30042196,2020,-43.34710693899996,-22.87087221799993
1674784,30042261,2020,-43.49739925399996,-22.99217108999994
1674844,30043087,2020,-43.49881571699996,-23.02819850799995
1674901,30043293,2020,-43.32086120099996,-22.83978193399997
1675022,30042287,2020,-43.70525279899994,-22.96314321599993
1675032,30042295,2020,-43.54460784799994,-23.00005716699997
1675034,30042345,2021,-43.59672309599995,-22.89536572599997
1675035,30042782,2020,-43.43684544399997,-23.00272594099994
1675442,30043319,2021,-43.18488293099995,-22.79807013399994
1676872,29638699,2020,-43.28684644799995,-22.82993486699996
1681010,30057038,2020,-43.58273564499996,-22.97123910899995
1691167,30054423,2020,-43.68388581999994,-22.92686804599998
1693891,30068001,2020,-43.26473559699997,-22.83722909899996
1698297,30066526,2020,-43.21810194799997,-22.90073664599993
1701988,30167399,2020,-43.51399662699998,-22.92183174299993
1702077,30166979,2020,-43.34128616999993,-22.94062298899996
1702112,30167134,2020,-43.25220115899998,-22.86015258699996
1702117,30167720,2020,-43.48473259699995,-22.97275880799998
1706572,30167746,2020,-43.48473259699995,-22.97275880799998
1708194,30166995,2020,-43.55892909199997,-22.91026436799996
1708279,30167142,2020,-43.34880776199998,-22.85503495999995
1708308,30166920,2021,-43.42909188399994,-22.88402511999993
1708309,30167290,2021,-43.28768356199998,-22.82816464399997
1714461,30177679,2020,-43.49089390099994,-22.97782732699994
1714462,30177695,2020,-43.48473259699995,-22.97275880799998
1714463,30177711,2020,-43.49303773999998,-22.97927474099998
1714467,30178347,2021,-43.29375425699993,-22.83117958899993
1714484,30177687,2020,-43.48473259699995,-22.97275880799998
1714485,30178032,2021,-43.37466825599995,-22.85825213899994
1714488,30178396,2020,-43.24259604699995,-22.91353706399997
1714576,30177620,2021,-43.49089390099994,-22.97782732699994
1714583,30178404,2021,-43.44348735499995,-22.87991895599998
